Sample ID,Comment,Section,Applied limit,Antenna Position,Frequency (MHz),S R,Mesure (dBµV/m),Detector type,Limit Peak (dBµV/m),Margin (dB),Polarization,Correction (dB),Conformity,Overtaking (dB),Limite (dBµV/m),Configuration,Limit Q-Peak (dBµV/m),Limit Avg (dBµV/m)
CRE2-2025-TP002-01,-,Peak,RNDS-C-00517 V4.0,1 (X),1.26775,1.0,33.23,Peak,64.0,30,Vertical,9.92,OK,-,-,ER_In front of harness RBW 9kHz,,
CRE2-2025-TP002-01,-,Q-Peak,RNDS-C-00517 V4.0,1 (X),1.26775,1.0,31.21,Q-Peak,,19,Vertical,9.92,OK,-,-,ER_In front of harness RBW 9kHz,51.0,
CRE2-2025-TP002-01,-,CISPR.AVG,RNDS-C-00517 V4.0,1 (X),26.63875,2.0,5.87,CISPR.AVG,,22,Vertical,10.3,OK,-,-,ER_In front of harness RBW 9kHz,,28.0
CRE2-2025-TP002-01,-,CISPR.AVG,RNDS-C-00517 V4.0,1 (X),1175.91025,1.0,-1.24,CISPR.AVG,,5,Vertical,20.75,OK,-,-,ER_In front of harness RBW 9kHz_GNSS,,4.0
CRE2-2025-TP002-01,-,CISPR.AVG,RNDS-C-00517 V4.0,2 (X),1175.91025,1.0,-0.38,CISPR.AVG,,4,Vertical,20.75,OK,-,-,ER_In front of DUT RBW 9kHz_GNSS,,4.0
CRE2-2025-TP002-01,-,Peak,RNDS-C-00517 V4.0,1 (X),432.02,3.0,20.87,Peak,25.0,4,Vertical,-10.22,OK,-,-,ER_In front of harness RBW 120kHz,,
CRE2-2025-TP002-01,-,Q-Peak,RNDS-C-00517 V4.0,1 (X),174.66,1.0,17.69,Q-Peak,,7,Vertical,-14.23,OK,-,-,ER_In front of harness RBW 120kHz,25.0,
CRE2-2025-TP002-01,-,CISPR.AVG,RNDS-C-00517 V4.0,1 (X),174.9,1.0,12.07,CISPR.AVG,,5,Vertical,-14.22,OK,-,-,ER_In front of harness RBW 120kHz,,18.0
CRE2-2025-TP002-01,-,Peak,RNDS-C-00517 V4.0,1 (X),239.0,3.0,35.67,Peak,32.0,4,Vertical,-14.34,OK,-,-,ER_In front of harness RBW 1MHz,,
CRE2-2025-TP002-01,-,CISPR.AVG,RNDS-C-00517 V4.0,1 (X),514.5,3.0,31.61,CISPR.AVG,,4,Vertical,-8.37,OK,-,-,ER_In front of harness RBW 1MHz,,28.0
CRE2-2025-TP002-01,-,Peak,RNDS-C-00517 V4.0,2 (X),432.56,3.0,22.39,Peak,25.0,2,Vertical,-10.19,OK,-,-,ER_In front of DUT RBW 120kHz,,
CRE2-2025-TP002-01,-,Q-Peak,RNDS-C-00517 V4.0,2 (X),174.24,1.0,24.76,Q-Peak,,0,Vertical,-14.24,OK,-,-,ER_In front of DUT RBW 120kHz,25.0,
CRE2-2025-TP002-01,-,CISPR.AVG,RNDS-C-00517 V4.0,2 (X),99.51,1.0,17.78,CISPR.AVG,,6,Vertical,-18.1,OK,-,-,ER_In front of DUT RBW 120kHz,,12.0
CRE2-2025-TP002-01,-,Peak,RNDS-C-00517 V4.0,2 (X),244.25,3.0,43.09,Peak,32.0,12,Vertical,-14.48,OK,-,-,ER_In front of DUT RBW 1MHz,,
CRE2-2025-TP002-01,-,CISPR.AVG,RNDS-C-00517 V4.0,2 (X),244.5,3.0,31.62,CISPR.AVG,,10,Vertical,-14.49,OK,-,-,ER_In front of DUT RBW 1MHz,,22.0
