Sample ID,Comment,Section,Applied limit,Antenna Position,Frequency (MHz),S R,Mesure (dBµV/m),Detector type,Limit Peak (dBµV/m),Margin (dB),Polarization,Correction (dB),Conformity,Overtaking (dB),Limite (dBµV/m),Configuration,Limit Q-Peak (dBµV/m),Limit Avg (dBµV/m)
CRE2-2025-TP002-02,-,Peak,RNDS-C-00517 V4.0,1 (X),1.25875,1.0,33.25,Peak,64.0,30,Vertical,9.92,OK,-,-,ER_In front of harness RBW 9kHz,,
CRE2-2025-TP002-02,-,Q-Peak,RNDS-C-00517 V4.0,1 (X),1.2565,1.0,31.39,Q-Peak,,19,Vertical,9.92,OK,-,-,ER_In front of harness RBW 9kHz,51.0,
CRE2-2025-TP002-02,-,CISPR.AVG,RNDS-C-00517 V4.0,1 (X),27.25975,2.0,4.57,CISPR.AVG,,23,Vertical,10.29,OK,-,-,ER_In front of harness RBW 9kHz,,28.0
CRE2-2025-TP002-02,-,CISPR.AVG,RNDS-C-00517 V4.0,1 (X),1175.91025,1.0,3.99,CISPR.AVG,,0,Vertical,20.75,OK,-,-,ER_In front of harness RBW 9kHz_GNSS,,4.0
CRE2-2025-TP002-02,-,CISPR.AVG,RNDS-C-00517 V4.0,2 (X),1175.908,1.0,2.85,CISPR.AVG,,1,Vertical,20.75,OK,-,-,ER_In front of DUT RBW 9kHz_GNSS,,4.0
CRE2-2025-TP002-02,-,Peak,RNDS-C-00517 V4.0,1 (X),432.11,3.0,19.97,Peak,25.0,5,Vertical,-10.21,OK,-,-,ER_In front of harness RBW 120kHz,,
CRE2-2025-TP002-02,-,Q-Peak,RNDS-C-00517 V4.0,1 (X),174.9,1.0,20.12,Q-Peak,,4,Vertical,-14.22,OK,-,-,ER_In front of harness RBW 120kHz,25.0,
CRE2-2025-TP002-02,-,CISPR.AVG,RNDS-C-00517 V4.0,1 (X),152.22,1.0,14.43,CISPR.AVG,,3,Vertical,-15.19,OK,-,-,ER_In front of harness RBW 120kHz,,18.0
CRE2-2025-TP002-02,-,Peak,RNDS-C-00517 V4.0,1 (X),237.0,3.0,35.4,Peak,32.0,4,Vertical,-14.25,OK,-,-,ER_In front of harness RBW 1MHz,,
CRE2-2025-TP002-02,-,CISPR.AVG,RNDS-C-00517 V4.0,1 (X),514.5,3.0,30.69,CISPR.AVG,,3,Vertical,-8.37,OK,-,-,ER_In front of harness RBW 1MHz,,28.0
CRE2-2025-TP002-02,-,Peak,RNDS-C-00517 V4.0,2 (X),432.47,3.0,21.76,Peak,25.0,3,Vertical,-10.2,OK,-,-,ER_In front of DUT RBW 120kHz,,
CRE2-2025-TP002-02,-,Q-Peak,RNDS-C-00517 V4.0,2 (X),173.91,1.0,26.17,Q-Peak,,2,Vertical,-14.26,OK,-,-,ER_In front of DUT RBW 120kHz,25.0,
CRE2-2025-TP002-02,-,CISPR.AVG,RNDS-C-00517 V4.0,2 (X),89.7,1.0,18.52,CISPR.AVG,,7,Vertical,-18.58,OK,-,-,ER_In front of DUT RBW 120kHz,,12.0
CRE2-2025-TP002-02,-,Peak,RNDS-C-00517 V4.0,2 (X),243.75,3.0,41.78,Peak,32.0,10,Vertical,-14.47,OK,-,-,ER_In front of DUT RBW 1MHz,,
CRE2-2025-TP002-02,-,CISPR.AVG,RNDS-C-00517 V4.0,2 (X),244.0,3.0,30.7,CISPR.AVG,,9,Vertical,-14.47,OK,-,-,ER_In front of DUT RBW 1MHz,,22.0
